Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
JAMA Neurology	2168-6149	2168-6157	CLINICAL NEUROLOGY(SCIE)	21.3	1	3/285	117
Advanced Fiber Materials	2524-7921	2524-793X	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);MATERIALS SCIENCE, TEXTILES(SCIE)"	21.3	1	45688	118
SusMat	2766-8479	2692-4552	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	21.3	1	2/102	119
International Journal of Extreme Manufacturing	2631-8644	2631-7990	"ENGINEERING, MANUFACTURING(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	21.3	1	1/71	120
INTENSIVE CARE MEDICINE	0342-4642	1432-1238	CRITICAL CARE MEDICINE(SCIE)	21.2	1	2/62	121
Science Bulletin	2095-9273	2095-9281	MULTIDISCIPLINARY SCIENCES(SCIE)	21.1	1	6/135	122
Applied Catalysis B-Environment and Energy	0926-3373	1873-3883	"CHEMISTRY, PHYSICAL(SCIE);ENGINEERING, CHEMICAL(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE)"	21.1	1	1/83	123
EUROPEAN RESPIRATORY JOURNAL	0903-1936	1399-3003	RESPIRATORY SYSTEM(SCIE)	21	1	2/108	124
AMERICAN JOURNAL OF BIOETHICS	1526-5161	1536-0075	"ETHICS(SSCI);MEDICAL ETHICS(SCIE);SOCIAL ISSUES(SSCI);SOCIAL SCIENCES, BIOMEDICAL(SSCI)"	20.8	1	1/77	125
Journal of Thoracic Oncology	1556-0864	1556-1380	ONCOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE)	20.8	1	3/108	126
TRENDS IN PLANT SCIENCE	1360-1385	1878-4372	PLANT SCIENCES(SCIE)	20.8	1	3/273	127
Annual Review of Public Health	0163-7525	1545-2093	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	20.7	1	5/419	128
REPORTS ON PROGRESS IN PHYSICS	0034-4885	1361-6633	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	20.7	1	4/114	129
ANNALS OF THE RHEUMATIC DISEASES	0003-4967	1468-2060	RHEUMATOLOGY(SCIE)	20.6	1	2/58	130
Annual Review of Biochemistry	0066-4154	1545-4509	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	20.5	1	6/319	131
Cell Stem Cell	1934-5909	1875-9777	CELL & TISSUE ENGINEERING(SCIE);CELL BIOLOGY(SCIE)	20.4	1	1/32	132
Environmental Chemistry Letters	1610-3653	1610-3661	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENGINEERING, ENVIRONMENTAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	20.4	1	7/374	133
Nature Chemistry	1755-4330	1755-4349	"CHEMISTRY, MULTIDISCIPLINARY(SCIE)"	20.2	1	10/239	134
Energy Storage Materials	2405-8297	2405-8289	"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	20.2	1	22/460	135
JAMA Oncology	2374-2437	2374-2445	ONCOLOGY(SCIE)	20.1	1	14/326	136
NATURE NEUROSCIENCE	1097-6256	1546-1726	NEUROSCIENCES(SCIE)	20	1	2/314	137
TRENDS IN PHARMACOLOGICAL SCIENCES	0165-6147	1873-3735	PHARMACOLOGY & PHARMACY(SCIE)	19.9	1	3/352	138
